text,class
"Strony ustalają, iż w przypadku powstania zaległości płatniczych pomiędzy Zamawiającym a Pośrednikiem windykacja należności zostanie przekazana do współpracującej z Pośrednikiem Kancelarii Radcy Prawnego Agnieszka Rembiesa, 30-048",KLAUZULA_ABUZYWNA
"Wypowiedzenie lub wygaśnięcie niniejszej umowy nie zwalnia Zamawiającego od zapłaty wynagrodzenia, jeśli zawrze On umowę dotyczącą Nieruchomości z klientami, którym przedstawiono w/w Nieruchomość w okresie jej obowiązywania",KLAUZULA_ABUZYWNA
W przypadku oczywiście nieuzasadnionej reklamacji Zamawiający zostanie obciążony kosztami podjętych czynności ekipy serwisowej,KLAUZULA_ABUZYWNA
Wszystkie koszty powstałe przy realizacji zasadnej reklamacji gwarancyjnej obciążają Wykonawcę,KLAUZULA_ABUZYWNA
"Z tytułu wykonania dzieła stanowiącego przedmiot umowy, jego dostarczenia i montażu Zamawiający zapłaci na rzecz Wykonawcy wynagrodzenie w kwociezł brutto (słownie: złotych) płatne w następujący sposób: a) 50% wynagrodzenia",KLAUZULA_ABUZYWNA
Wadliwe przygotowanie pomieszczenia do wykonania dzieła wyłącza odpowiedzialność Wykonawcy za prawidłowy montaż dzieła,KLAUZULA_ABUZYWNA
Niezależnie od postanowień § 2 ust. 1 lit. a) i b) termin wykonania i dostarczenia dzieła może ulec przesunięciu tylko z ważnych przyczyn leżących po stronie Wykonawcy o okres nie dłuższy niż 14 dni. O przesunięciu terminu realizacji,KLAUZULA_ABUZYWNA
"Wykonawca zobowiązuje się do: a) wykonania zamówionego dzieła nie później niż do dnia. b) dostarczenia na adres. w terminie ustalonym telefonicznie i potwierdzonym mailowo z Zamawiającym, pod warunkiem zapłaty na rzecz",KLAUZULA_ABUZYWNA
"Wszelkie modyfikacje zamówienia przez Zamawiającego po złożeniu Zamówienia wymagają zgody Wykonawcy wyrażonej na piśmie pod rygorem nieważności zmiany. W przypadku zaakceptowania przez Wykonawcę modyfikacji zamówienia, Wykonawca",KLAUZULA_ABUZYWNA
"Do ceny określonej w pkt. 3.1. umowy doliczony zostanie podatek VAT. Stawka podatku VAT w dniu zawarcia umowy wynosi dla lokalu mieszkalnego 7%, zaś dla garażu 22% (dla lokalu użytkowego 22%). Strony ustalają, że w przypadku zmiany tych",KLAUZULA_ABUZYWNA
"Do obliczenia wartości polisy oraz wartości dodatkowej przyjmuje się cenę sprzedaży jednostki uczestnictwa obowiązującą w dniu wyceny, następującym po dniu zarejestrowania przez Towarzystwo kompletu dokumentów niezbędnych do",KLAUZULA_ABUZYWNA
"W przypadku rezygnacji przez Klienta z uczestnictwa w imprezie turystycznej z przyczyn leżących po stronie Klienta, z uwagi na niemożność udokumentowania faktycznie poniesionych kosztów przez Organizatora do czasu zakończenia imprezy",KLAUZULA_ABUZYWNA
"W przypadku gdy wartość nieruchomości ustalona przez MultiBank w oparciu o maksymalne dopuszczalne LTV jest niższa od kwoty kredytu, warunkiem jego udzielenia jest ustanowienie dodatkowego zabezpieczenia ryzyka MultiBanku, w szczególności w",KLAUZULA_ABUZYWNA
"Kredytobiorca upoważnia Bank do pobrania kosztów związanych z podwyższonym ryzykiem spłaty Kredytu w wysokości % kwoty Kredytu objętej ubezpieczeniem, tj. PLN, w tym także w przypadku przedłużenia ochrony ubezpieczeniowej, z",KLAUZULA_ABUZYWNA
"XII. Kupujący oświadcza ponadto, że: 1) nie będzie wnosić protestów, sprzeciwów i odwołań od wszelkich postanowień i decyzji administracyjnych wydanych w ramach postępowań o wydanie decyzji administracyjnych, zgód, pozwoleń,",KLAUZULA_ABUZYWNA
"X. Kupujący oświadcza, że jako członek Wspólnoty Mieszkaniowej Budynków wyraża zgodę na: a) dokonanie określenia sposobu korzystania z Nieruchomości Wspólnej, w ten sposób, że każdoczesnym właścicielom wskazanych przez Spółkę",KLAUZULA_ABUZYWNA
"15. Pełnomocnictwo. Kupujący oświadcza, że zobowiązuje się w Umowie Przyrzeczonej udzielić Spółce nieodwołalnego pełnomocnictwa do: 15.2 dokonywania wszelkich czynności faktycznych i prawnych w zakresie podziału, połączenia lub zmiany",KLAUZULA_ABUZYWNA
"8.6. Kupujący oświadcza, że zobowiązuje się w Umowie Przyrzeczonej wyrazić zgodę na: 8.6.1. dokonanie określenia sposobu korzystania z Nieruchomości Wspólnej i Parkingu, w ten sposób, że: a. każdoczesnym właścicielom wskazanych",KLAUZULA_ABUZYWNA
"Reklamacje dotyczące uszkodzeń mechanicznych przesyłki powstałych podczas transportu, będą rozpatrywane tylko w momencie odbioru towaru w obecności pracownika firmy dostarczającej towar. Warunkiem uznania tego typu reklamacji będzie",KLAUZULA_ABUZYWNA
Właściciel sklepu zastrzega sobie prawo do zmiany treści regulaminu bez konieczności powiadamiania użytkowników,KLAUZULA_ABUZYWNA
Odzież należy odebrać najpóźniej w terminie 3 miesięcy od daty wykonania usługi. Po tym terminie pralnia przekazywać ją będzie na cele charytatywne,KLAUZULA_ABUZYWNA
"Niniejsza umowa jest umową zawartą na wyłączność z odpowiednim stosowaniem art. 550 kodeksu cywilnego, co oznacza, że Klient oddaje sprawę do prowadzenia tylko Pośrednikowi, bez możliwości powierzenia jej innemu podmiotowi w",KLAUZULA_ABUZYWNA
"Zwracany towar nie może nosić oznak użytkowania. Każdy element musi być kompletny i fabrycznie zapakowany, towar dostarczony w oryginalnym opakowaniu w stanie niezmienionym. W przypadku niespełnienia powyższego warunku produkt nie zostanie",KLAUZULA_ABUZYWNA
"Złożenie zamówienia nie jest równoznaczne z jego przyjęciem. Sprzedawca może odmówić realizacji zamówienia, także bez podania przyczyny",KLAUZULA_ABUZYWNA
Przy ewentualnych sporach właściwym do ich rozstrzygnięcia jest Sąd Rejonowy odpowiedni dla siedziby przewoźnika,KLAUZULA_ABUZYWNA
"BP Kormoran zastrzega sobie prawo rozwiązania umowy ze skutkiem natychmiastowym bez ponoszenia konsekwencji finansowych z Uczestnikiem uporczywie naruszającym ustalony porządek imprezy, zagrażającym jej realizacji lub uniemożliwiającym",KLAUZULA_ABUZYWNA
§ 5 W przypadku rezygnacji w trakcie trwania kursu z przyczyn leżących po stronie Usługobiorcy. Usługodawcy przysługuje opłata za usługę do końca obowiązywania niniejszej umowy. Usługodawca może zrezygnować z powyższej należności,KLAUZULA_ABUZYWNA
"Od momentu nadania firma ACERON nie ma wpływu na to co się dzieje z przesyłką. Odpowiedzialność za dostarczenie przesyłki w całości, spoczywa na Poczcie Polskiej. Nie odpowiadamy za uszkodzenie przesyłki lub jej zawartości przez",KLAUZULA_ABUZYWNA
"Jeżeli otrzymany towar będzie posiadał wady techniczne lub braki, należy go odesłać na adres firmy podany w paragrafie I; nie później jednak niż do 30 dni od daty zakupu",KLAUZULA_ABUZYWNA
"Odpowiedzialność Dostawcy jest ograniczona do wysokości opłaty za świadczenie usług przez miesiąc, obliczonej w zależności od opłacanego przez Klienta abonamentu, jako jednokrotność abonamentu miesięcznego, 1/3 abonamentu kwartalnego",KLAUZULA_ABUZYWNA
"§7.1  Wysokość opłat, o których mowa w §3 może ulegać zmianie w zależności od: a) zmiany poziomu inflacji w wysokości podawanej do publicznej wiadomości przez Główny Urząd Statystyczny, b) zmiany kosztów obsługi",KLAUZULA_ABUZYWNA
§3.1  Z tytułu podjętych działań monitorujących Prometeusz Kredyty Sp. z o. o. ma prawo obciążyć klienta opłatą za przeprowadzenie następujących czynności: 1) wykonanie telefonu interwencyjnego w sprawie opóźnienia w,KLAUZULA_ABUZYWNA
"Warunkiem niezbędnym do zwrotu towaru jest posiadanie dowodu zakupu na towar (faktura VAT, oryginalny paragon)",KLAUZULA_ABUZYWNA
"Podstawą do reklamacji, naprawy gwarancyjnej jest dowód zakupu wydawane razem z towarem (faktura VAT, oryginalny paragon)",KLAUZULA_ABUZYWNA
"W razie pozostania w mocy kaucji, kaucja podlega zwrotowi na pisemny wniosek abonenta z zastrzeżeniem § 1 ust. 3, w terminie 14 dni od otrzymania wniosku",KLAUZULA_ABUZYWNA
Operator może rozwiązać lub zmienić Umowę w sposób powodujący ograniczenie zakresu świadczonych Usług bez zachowania terminu wypowiedzenia w następujących przypadkach: b) rozpoczęcie świadczenia Usług nie będzie możliwe z,KLAUZULA_ABUZYWNA
Firma Unique Brand of Cosmetics zastrzega sobie prawo zmiany niniejszego Regulaminu. Zmienione zapisy Regulaminu będą wiążące od momentu ich opublikowania na stronie sklepu www.uniquecosmetics.pl,KLAUZULA_ABUZYWNA
"Kwota kaucji podlegać będzie przepadkowi na rzecz Dewelopera tytułem odszkodowania za wstrzymanie sprzedaży lokalu mieszkalnego, jeśli Klienci nie przystąpią do zawarcia Umowy deweloperskiej z własnej winy",KLAUZULA_ABUZYWNA
"§ 12.9  Deweloper może zainstalować na dachu bądź na elewacji budynku opisanego w § 4 ust. 1 niniejszego aktu wybudowanego na Nieruchomości, napisy odzwierciedlające nazwę inwestycji, pełną lub skróconą nazwę Dewelopera, logo",KLAUZULA_ABUZYWNA
"§ 12.8 Nabywca niniejszym wyraża zgodę na prowadzenie przez Dewelopera do czasu sprzedaży ostatniego lokalu w ramach Przedsięwzięcia deweloperskiego, działań marketingowych (takich jak w szczególności: organizacji wydarzeń",KLAUZULA_ABUZYWNA
"§ 2.5 Pełnomocnik Dewelopera informuje Nabywcę, że na parterze budynku A realizowanego w ramach Przedsięwzięcia deweloperskiego planowane jest wybudowanie zespołu lokali użytkowych, których układ zostanie dobrany przez",KLAUZULA_ABUZYWNA
"W przypadku rezygnacji z imprezy Zamawiający zobowiązany jest zgłosić Wykonawcy ten fakt na 180 dni przed terminem przyjęcia. Natomiast, gdy rezygnacja nastąpi na 90 dni przed terminem przyjęcia, Zamawiający zobowiązany jest do zapłaty 50%",KLAUZULA_ABUZYWNA
Zwracany towar należy odsyłać razem z otrzymaną wraz z nim fakturą z wypełnioną częścią zwrot,KLAUZULA_ABUZYWNA
Jeżeli postanowienia niniejszego rozdziału zastrzegają na rzecz Gerling Polska Życie prawo dokonywania waloryzacji wysokości danej opłaty stosuje się opisane poniżej zasady. Wysokość opłaty wynikająca z waloryzacji obowiązuje od dnia,KLAUZULA_ABUZYWNA
"Reklamacje dotyczące uszkodzeń mechanicznych towaru powstałych podczas przesyłki, rozpatrywane będą tylko na podstawie spisanego wraz z dostawcą paczki protokołu reklamacyjnego",KLAUZULA_ABUZYWNA
"Kupujący oświadcza, że dokładnie zapoznał się ze wszystkimi postanowieniami niniejszej umowy oraz załącznikami do niej i nie zgłasza wobec nich jakichkolwiek roszczeń",KLAUZULA_ABUZYWNA
Firma P.H. Lambii s.c. jest także uprawniona do przelania wierzytelności wobec Kupującego na osobę trzecią na co Kupujący niniejszym wyraża zgodę,KLAUZULA_ABUZYWNA
"W przypadku odstąpienia Zamawiającego od umowy bądź zlecenia przez niego wykonywania prac będących przedmiotem niniejszej Umowy osobom trzecim, Wykonawcy przysługuje wynagrodzenie z tytułu już wykonanych prac oraz kara umowna w wysokości 5000",KLAUZULA_ABUZYWNA
"Ceny podane przez producentów w walutach obcych, określane są ostatecznie w PLN według średniego kursu walut Narodowego Banku Polskiego, podanego w tabeli kursów aktualnej w dniu wystawienia faktur za prace obejmujące dostawę tych urządzeń",KLAUZULA_ABUZYWNA
Każda płatność Zamawiającego będzie uwzględniała podatek VAT w stawce procentowej określonej aktualnymi w momencie płatności przepisami,KLAUZULA_ABUZYWNA
"Po zakończeniu danego etapu prac Wykonawca zgłosi to wykonanie Zamawiającemu pocztą elektroniczną, po czym w terminie 7 dni Zamawiający dokona odbioru prac. W przypadku braku odpowiedzi lub przystąpienia do odbioru uznaje się dany etap za odebrany",KLAUZULA_ABUZYWNA
Podmiot prowadzący sklep zastrzega sobie prawo zmiany niniejszego Regulaminu,KLAUZULA_ABUZYWNA
Właściciel sklepu zastrzega sobie prawo do jednostronnej zmiany postanowień niniejszego regulaminu w każdej chwili i bez konieczności uzasadniania przyczyny,KLAUZULA_ABUZYWNA
"Cena zwracana jest w terminie 5 dni roboczych od dnia otrzymania przez Właściciela sklepu odesłanego towaru wraz z oświadczeniem o odstąpieniu od umowy, po spełnieniu warunków odstąpienia. Koszty wysyłki nie są zwracane",KLAUZULA_ABUZYWNA
"Zgodnie z Ustawą z dn. 2.03.2000 r. (Dz.U. z 2000 r. Nr 22, poz. 271 z późniejszymi zmianami) O ochronie praw konsumentów - Klient, który zakupił towar poza lokalem oferującego go przedsiębiorstwa ma prawo odstąpić od umowy kupna w terminie",KLAUZULA_ABUZYWNA
Złożenie zamówienia w sklepie internetowym www.szron.com.pl jest równoznaczne z akceptacją niniejszego regulaminu,KLAUZULA_ABUZYWNA
Przyjęcie przez Klienta przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu ubytku lub uszkodzenia,KLAUZULA_ABUZYWNA
Zwracany towar należy odesłać razem z otrzymanym wraz z nim paragonem,KLAUZULA_ABUZYWNA
Sprawdzenie przesyłki przy odbiorze jest niezbędnym warunkiem uwzględniania ewentualnych roszczeń Klienta z tytułu uszkodzenia czy okradzenia przesyłki w transporcie,KLAUZULA_ABUZYWNA
"Gwarancja [] nie obowiązuje, gdy produkt dotknięty jest uszkodzeniami mechanicznymi pochodzenia zewnętrznego",KLAUZULA_ABUZYWNA
Sklep zastrzega sobie prawo do zmiany Regulaminu Sklepu TOŁPA.PL. Wszelkie zmiany regulaminu obowiązują od daty publikacji na stronie www.sklep.tolpa.pl,KLAUZULA_ABUZYWNA
"Odbierając towar Nabywca jest zobowiązany do sprawdzenia, czy przesyłka nie posiada uszkodzeń powstałych podczas transportu. Warunkiem rozpatrzenia ewentualnej reklamacji jest spisanie w obecności pracownika Poczty Polskiej Protokołu Reklamacji",KLAUZULA_ABUZYWNA
Koszt odesłania towaru nie podlega zwrotowi,KLAUZULA_ABUZYWNA
Jedynym skutecznym sposobem na zgłoszenie reklamacji jest wypełnienie formularza reklamacyjnego,KLAUZULA_ABUZYWNA
"Jeśli Klient nie odbierze przesyłki pobraniowej, obciążany jest kosztami przesyłki zwrotnej do firmy ACERON oraz kosztami ponownego wysłania towaru. W przeciwnym razie firma ACERON zastrzega sobie prawo do nałożenia na Klienta kary w wysokości",KLAUZULA_ABUZYWNA
"Sklep gwarantuje zwrot kwoty równej cenie zamówionych produktów. Pieniądze zostaną oddane, zgodnie z powyższą ustawą, w ciągu 14 dni roboczych, wyłącznie przelewem bankowym na konto wskazane przez Klienta",KLAUZULA_ABUZYWNA
Złożenie zamówienia jest równoznaczne z akceptacją regulaminu,KLAUZULA_ABUZYWNA
Sprzedający zastrzega sobie prawo do zmiany niniejszego regulaminu,KLAUZULA_ABUZYWNA
Zwracany towar należy odesłać kompletny razem z otrzymanym wraz z nim dokumentem zakupu fakturą VAT lub paragonem,KLAUZULA_ABUZYWNA
"W przypadku pisemnej rezygnacji przez Studenta z nauki w trybie określonym w § 10 umowy, bądź skreślenia Studenta z listy Studentów przez Uczelnię w terminie do 15 września każdego roku, Student zwolniony jest od wszelkich opłat za okres",KLAUZULA_ABUZYWNA
"Sprzedawca nie ponosi odpowiedzialności za niewykonanie lub nienależyte wykonanie zobowiązań wynikających z umowy sprzedaży o ile niewykonanie lub nienależyte wykonanie spowodowane było okolicznościami, na które Sklep Internetowy nie miał",KLAUZULA_ABUZYWNA
Podstawą przyjęcia reklamacji jest dowód zakupu towaru (paragon fiskalny lub faktura VAT),KLAUZULA_ABUZYWNA
Wszelkie spory powstałe na gruncie Regulaminu lub umów sprzedaży rozstrzygał będzie polski sąd powszechny. Sądem właściwym dla rozstrzygania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby pozwanego,KLAUZULA_ABUZYWNA
Koszty przesyłki reklamowanego Produktu pokrywa Zamawiający,KLAUZULA_ABUZYWNA
"Pieniądze otrzymane przez Sprzedawcę za Produkt zostaną zwrócone Zamawiającemu przelewem na wskazany w oświadczeniu o odstąpieniu umowy, numer rachunku bankowego (ewentualnie przekazem pocztowym) w terminie 14 dni roboczych od momentu otrzymania",KLAUZULA_ABUZYWNA
W przypadku odstąpienia od umowy Zamawiający jest zobowiązany do odesłania zakupionych Produktów w oryginalnym opakowaniu wraz z oświadczeniem o odstąpieniu od umowy sprzedaży i dołączonym oryginalnym dowodem zakupu,KLAUZULA_ABUZYWNA
Kolejna Wypłata będzie zrealizowana przelewem bankowym na rachunek Pożyczkobiorcy do 5 (pięciu) dni roboczych od dnia Kolejnej Wypłaty zgodnie z p.3,KLAUZULA_ABUZYWNA
Odstąpienie od Kolejnej Wypłaty zostanie wysłane na piśmie do Pożyczkobiorcy najpóźniej do 2 dni roboczych po upływie daty spłaty raty określonej w p. 3.1,KLAUZULA_ABUZYWNA
"Pożyczkobiorca, Pożyczkobiorca (Partner), Poręczyciel zobowiązany jest ponieść opłaty za czynności dodatkowe związane z realizacją umowy zgodnie z tabelą opłat. Opłata za monit lub wezwanie do zapłaty 15,00 zł; opłata za monit -",KLAUZULA_ABUZYWNA
"W przypadku, gdy Pożyczkobiorca zalega z zapłatą jakiegokolwiek terminowego zobowiązania pieniężnego wynikającego z niniejszej umowy, Pożyczkodawca ma prawo podjąć następujące działania windykacyjne: monity telefoniczne (w tym za pomocą",KLAUZULA_ABUZYWNA
"Pożyczkodawca w przypadku wypowiedzenia umowy ma prawo na wekslu In blanco wpisać datę i miejsce zapłaty oraz kwotę nie przekraczającą kwoty należnej Pożyczkodawcy do zapłaty z tytułu pozostałej niespłaconej części pożyczki,",KLAUZULA_ABUZYWNA
Właściwym sądem do rozstrzygania sporów powstałych na tle działalności prowadzonej przez sprzedawcę jest sąd właściwy dla siedziby właściciela,KLAUZULA_ABUZYWNA
"Zwracany towar Zamawiający musi opatrzyć w numer zwrotu - RMZ. Numer RMZ powinien być opisany w widocznym miejscu na przesyłce, ponieważ paczki bez numeru RMZ nie będą odbierane",KLAUZULA_ABUZYWNA
Uczestnik programu wskutek wypowiedzenia umowy nie ma prawa do odstąpienia od zamówienia bonów i zażądania zwrotu dokonanej na ich poczet zaliczki,KLAUZULA_ABUZYWNA
Roszczenie o zwrot zaliczki jest wykluczone z zastrzeżeniem odmiennych postanowień OWU i DOWU,KLAUZULA_ABUZYWNA
"Złożenie zamówienia nie jest równoznaczne z jego przyjęciem. Sprzedawca może odmówić realizacji zamówienia, także bez podania przyczyny",KLAUZULA_ABUZYWNA
"Warunkiem zwrotu jest brak jakichkolwiek śladów użytkowania, zniszczenia, zabrudzenia, czy uszkodzenia",KLAUZULA_ABUZYWNA
"Podmiot prowadzący sklep nie ponosi odpowiedzialności za przerwy w korzystaniu ze sklepu internetowego zaistniałe z przyczyn technicznych (konserwacja, przegląd, wymiana sprzętu, etc.) lub innych od niego niezależnych",KLAUZULA_ABUZYWNA
Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby SPRZEDAWCY,KLAUZULA_ABUZYWNA
"§ 11 Ergo Hestia nie odpowiada za szkody: 5) wskutek kradzieży pojazdu lub jego części jeżeli: d) poszkodowany nie przedłożył Ergo Hestii dokumentów pojazdu, na",KLAUZULA_ABUZYWNA
"Uczestnik może domagać się rekompensaty w odpowiednim stosunku i proporcji do tego, jakie warunki były zagwarantowane przy ustaleniu całej wartości imprezy, a nie zostały zrealizowane",KLAUZULA_ABUZYWNA
"Sklep może odmówić realizacji zamówienia, którego rzetelności nie udało się potwierdzić",KLAUZULA_ABUZYWNA
Podstawą rozpatrywania spraw reklamacyjnych jest dowód sprzedaży w postaci paragonu fiskalnego lub faktury VAT,KLAUZULA_ABUZYWNA
Sklep zastrzega sobie prawo do zmiany regulaminu,KLAUZULA_ABUZYWNA
Sklep gwarantuje zwrot kwoty równej cenie towaru. Pieniądze zostaną zwrócone w ciągu 7 dni roboczych przelewem bankowym na konto wskazane przez klienta lub przekazem pocztowym pod adresem wskazanym w zamówieniu. Koszt dostawy i odesłania towaru,KLAUZULA_ABUZYWNA
"W sytuacji, gdy suma ubezpieczenia nie została ustalona w zgodzie z § 15 ust. 1 i ust. 3-5 Ogólnych Warunków Ubezpieczenia Autocasco, za wartość rynkową pojazdu w trakcie okresu ubezpieczenia przyjmuje się wartość rynkową z dnia zawarcia",KLAUZULA_ABUZYWNA
"Na podstawie niniejszej klauzuli, z zachowaniem pozostałych, niezmienionych niniejszą klauzulą postanowień umowy ubezpieczenia pojazdów mechanicznych od utraty, zniszczenia lub uszkodzenia (Autocasco), za opłatą dodatkowej składki ubezpieczenia",KLAUZULA_ABUZYWNA
"6.5. Przystanek docelowy zaznaczony na bilecie może być zmieniony na inny przystanek, tylko w tym samym mieście. Zmiany mogą być dokonane, jeżeli Pasażer poinformuje Biuro Obsługi Klienta Lux Express co najmniej 1 godzinę przed odjazdem",KLAUZULA_ABUZYWNA
